tweet_id,prejudice_degree
72068,2.9
72077,3.7
72123,3.3
72271,3.7
45823,2.9
72676,3.5
72770,3.3
72901,3.8
73074,3.5
73139,3.1
73288,2.9
45897,3.6
73329,3.6
69446,2.9
91982,3.2
79703,2.7
79542,3.5
79479,3.1
79477,3.0
13807,2.7
79463,3.8
79456,3.2
79476,3.4
23804,2.7
79449,3.2
79415,3.6
79399,4.2
39354,3.1
79394,3.5
79451,3.4
472,2.5
22200,3.2
39669,2.7
78962,2.7
28943,2.8
80029,3.3
79392,2.7
79671,3.2
14775,2.8
79450,2.9
34137,2.7
86408,2.5
4549,3.1
13573,3.0
19676,4.0
33000,2.5
78983,3.3
37619,3.3
32267,3.4
3645,3.9
78865,4.3
26422,3.0
40453,3.3
14624,2.9
22950,3.5
92024,3.7
14469,2.3
79352,3.8
14820,2.6
92029,3.5
13780,3.0
1588,2.5
2054,2.7
79225,3.7
18328,2.7
79199,3.8
79121,3.8
78914,2.7
79005,3.6
32439,3.6
1057,2.8
39724,2.6
27372,3.0
36496,4.1
42112,4.3
79574,3.1
20127,4.2
20814,3.3
370,3.3
79732,4.3
10666,2.7
79576,3.4
9258,4.0
2981,3.0
3773,2.4
32700,4.0
16238,3.5
39776,3.5
35605,3.6
806,3.0
18034,2.4
38193,3.4
79649,4.1
41749,2.8
8347,3.9
33308,2.6
1570,3.0
79927,4.4
79930,3.5
79462,3.4
3805,3.0
38148,3.0
3437,3.9
22935,3.2
429,2.5
35882,3.4
28090,3.7
30060,2.8
551,2.3
17587,2.6
80063,4.5
40929,2.3
80054,3.4
24146,3.1
79994,3.3
79990,4.1
79989,3.9
17663,2.7
79552,3.2
79936,3.2
79554,3.2
79933,4.5
80055,3.5
30046,2.6
2098,3.3
36182,3.0
9136,3.5
18541,3.6
30067,3.7
5113,2.6
31030,2.5
20989,3.1
13315,3.5
38878,3.5
79938,3.3
79937,4.2
79934,3.9
79929,4.7
79928,3.0
79926,3.4
79925,3.2
18531,3.8
26594,2.4
79233,3.2
4748,2.5
23942,2.8
79096,3.0
8147,3.7
41665,3.1
42730,3.0
9778,3.6
25607,2.3
78877,3.8
34025,2.9
12926,2.9
79037,3.5
26583,2.7
32122,3.2
78894,3.6
78999,3.7
26368,3.0
11038,3.5
12386,3.0
40680,3.1
35948,3.5
41727,2.6
16150,1.8
79056,3.0
29464,3.1
35718,2.7
13541,3.0
8632,3.9
16014,2.9
10872,2.3
13768,2.2
1847,2.8
33858,2.5
19475,2.7
18706,3.0
10603,2.7
6681,2.3
5943,2.9
18692,3.2
15187,3.1
27899,3.8
31560,2.4
79281,3.1
18073,3.6
34593,2.9
79337,4.1
79304,2.9
34618,3.1
79275,3.5
21787,3.5
40691,3.6
5164,2.9
22704,1.9
32310,3.2
6543,2.3
26190,2.5
24176,3.2
42500,2.5
36169,3.3
19770,3.5
16704,2.5
16198,2.7
10913,2.9
50,3.6
4350,3.4
6206,2.3
14266,2.6
9829,1.8
25823,2.7
11647,3.4
28962,2.7
5381,3.7
32750,3.1
36764,2.6
22578,3.0
79271,3.7
32955,2.6
22507,3.5
7619,3.2
79384,3.0
79457,3.4
79467,3.1
79469,3.3
79941,2.6
79995,2.7
80019,3.0
80032,2.3
80034,3.7
80068,3.7
80082,3.1
37232,3.2
34111,4.1
79097,2.9
12301,3.5
9717,3.3
4185,3.7
79070,2.6
42285,2.7
24274,2.6
2444,2.1
39411,2.5
17877,2.6
32400,2.8
26254,3.4
14583,3.3
79258,2.4
25426,3.6
79251,3.7
79238,3.1
79237,2.9
8499,3.0
4658,3.5
79223,3.9
380,3.5
79162,2.4
42741,2.5
2348,2.8
2172,3.4
79145,3.2
42326,2.6
19655,2.6
13908,2.3
79139,3.4
79137,2.9
25844,3.5
22906,3.1
28284,3.5
833,2.6
34721,2.5
79148,2.8
92131,3.3
24378,2.7
38400,3.5
33485,3.3
18396,2.1
35561,3.6
32460,3.6
2478,2.8
31037,3.0
28047,3.0
25194,2.0
27166,2.4
24973,3.3
6873,3.0
34271,2.9
14433,2.5
14798,3.6
9131,2.7
12463,3.3
42113,3.4
791,4.4
6922,3.7
26344,2.6
33342,3.4
40674,3.5
23396,2.4
33123,2.5
3295,2.9
39549,3.1
20878,3.0
18199,3.1
5871,3.4
40958,2.9
18337,2.6
632,2.3
38089,3.3
1760,3.0
8120,4.1
14235,2.4
3642,2.9
3755,3.1
15486,2.3
5092,3.3
42498,2.6
28687,2.4
28122,2.6
4710,2.7
12812,3.4
19524,3.2
10553,3.6
39754,3.1
2070,2.8
4590,2.9
36406,2.8
31053,3.5
21342,3.2
9134,3.7
36592,2.3
27091,3.4
31849,2.9
18251,2.6
1941,3.6
34263,3.4
14162,1.9
19853,3.2
21670,3.6
6618,3.0
1003,2.8
17809,3.3
32089,3.4
6953,3.7
14738,3.4
29559,3.1
16771,3.0
1562,3.5
18902,2.8
4937,2.7
8042,3.5
30894,3.0
30976,2.9
8045,2.6
381,2.2
3023,4.0
10885,3.6
19981,3.1
26920,2.7
14216,3.1
21874,3.2
26169,2.3
2435,3.0
17884,3.2
37039,2.4
14789,2.7
40942,2.7
9713,3.6
35102,2.7
12956,3.6
26668,3.1
36465,2.4
6388,2.7
42578,3.4
28222,3.2
16836,2.7
23447,2.8
12902,3.7
13883,4.5
31315,3.3
1739,3.7
17938,4.7
3713,3.2
20185,3.1
38656,2.6
12272,4.3
1741,2.9
36276,3.6
476,2.5
17685,3.0
21589,2.9
26864,3.0
26962,2.7
10211,2.2
39243,3.2
36681,3.4
23110,3.5
33237,2.4
18569,3.4
11369,3.2
7550,2.8
4454,2.9
1910,2.3
30454,2.6
29740,3.2
41279,3.0
3518,2.5
26561,3.2
7309,3.4
39944,3.0
1939,2.9
39755,2.9
31441,3.3
28910,2.6
16825,2.8
30671,2.5
22320,2.0
34362,3.2
8180,3.2
22853,3.2
36529,4.0
33492,3.2
7933,3.4
21950,2.6
39413,2.5
11113,3.7
8642,2.4
40407,3.3
19106,3.6
7993,3.3
27844,2.9
27622,4.1
30934,3.3
24843,3.6
21401,2.7
28355,2.5
13306,2.8
7384,3.4
40857,2.0
40409,3.7
24670,3.3
17538,3.2
26181,3.1
24723,2.8
23642,4.2
37485,2.9
24089,3.0
20338,2.9
6724,4.0
24629,2.5
34647,3.2
1255,3.4
34520,2.8
34146,2.8
35911,2.3
40685,2.8
28101,2.8
11446,3.1
41413,3.0
41529,1.8
6241,2.5
26191,2.9
4069,3.2
25438,2.1
33394,3.1
35833,2.3
18806,3.5
751,2.7
34969,2.5
23840,2.9
17949,3.3
24941,2.7
39697,3.2
33240,3.2
14039,2.8
17428,2.4
7121,2.8
37189,3.6
15670,2.5
22776,3.3
41444,3.0
33024,2.9
1182,2.6
10918,2.6
26245,3.1
30258,3.2
40038,2.5
13346,2.9
33800,2.7
34290,2.6
38995,3.4
1381,3.2
8371,2.7
27561,3.4
1938,3.0
23892,3.7
24808,3.0
33497,2.7
41458,3.0
2927,2.6
39609,3.0
12169,2.8
11107,4.3
28627,2.5
11094,3.3
39890,1.8
1722,2.6
7555,3.2
13504,3.3
34686,3.2
6886,3.1
8267,3.0
771,3.0
18763,2.5
7109,3.6
26309,3.2
25977,3.8
8459,2.5
12781,2.2
28853,2.3
19314,2.9
20578,3.3
13729,3.3
17879,3.4
3927,4.0
42025,3.1
16653,2.9
38388,3.0
13278,3.1
6058,2.9
27863,2.7
9496,2.6
14026,3.0
12393,3.2
18723,3.0
92804,3.3
